source_id,url,fetched_at,http_status,content_type,content_length,content_sha256,etag,last_modified,outcome,raw_ref,reason,warnings
hf.datasets.top-downloads,https://huggingface.co/api/datasets?sort=downloads&direction=-1&limit=1000&expand[]=downloads&expand[]=downloadsAllTime&expand[]=likes&expand[]=createdAt&expand[]=lastModified,2026-09-02T00:04:36Z,200,application/json,204062,24f6815922b0d59b710ca476efc082997fba42853302cf980468dd2ae5de1c80,"W/""31d1e-eOSh60FjuXYJTL6meywRu0q+PNc""",,changed,raw/hf.datasets.top-downloads/2026/09/20260902T000436Z-24f6815922b0.json,,
hf.datasets.top-downloads,https://huggingface.co/api/datasets?sort=downloads&direction=-1&limit=1000&expand[]=downloads&expand[]=downloadsAllTime&expand[]=likes&expand[]=createdAt&expand[]=lastModified,2026-09-03T00:08:45Z,200,application/json,204058,37bc9d7fae34bdfcb00272d2780a47b4a0b110e24fe5e99eb9fb3a259f9e050f,"W/""31d1a-gkICNEYU1f8m9bQZIsq+6yn8Mw8""",,changed,raw/hf.datasets.top-downloads/2026/09/20260903T000845Z-37bc9d7fae34.json,,
hf.datasets.top-downloads,https://huggingface.co/api/datasets?sort=downloads&direction=-1&limit=1000&expand[]=downloads&expand[]=downloadsAllTime&expand[]=likes&expand[]=createdAt&expand[]=lastModified,2026-09-04T00:00:36Z,200,application/json,204050,85ed1b4527a48ddeb937faa5d8bdfef9875cc66b2cb03be63f9d3d0bd4d47a5c,"W/""31d12-kC1RcpNA44Rnmluvzd+mI5GOdUk""",,changed,raw/hf.datasets.top-downloads/2026/09/20260904T000036Z-85ed1b4527a4.json,,
