source_id,url,fetched_at,http_status,content_type,content_length,content_sha256,etag,last_modified,outcome,raw_ref,reason,warnings
hf.models.text-generation,https://huggingface.co/api/models?pipeline_tag=text-generation&sort=downloads&direction=-1&limit=1000&expand[]=downloads&expand[]=downloadsAllTime&expand[]=likes&expand[]=createdAt&expand[]=lastModified,2026-08-31T14:47:30Z,200,application/json,213298,7d9566304227371569d29eddc26b035dc8af1b3482074466adf5a22478afba4f,"W/""34132-fDjbQ5iJRZBdpW2bAENYak08T3Y""",,first_capture,raw/hf.models.text-generation/2026/08/20260831T144730Z-7d9566304227.json,,
hf.models.text-generation,https://huggingface.co/api/models?pipeline_tag=text-generation&sort=downloads&direction=-1&limit=1000&expand[]=downloads&expand[]=downloadsAllTime&expand[]=likes&expand[]=createdAt&expand[]=lastModified,2026-08-31T14:49:03Z,304,application/json,213298,7d9566304227371569d29eddc26b035dc8af1b3482074466adf5a22478afba4f,"W/""34132-fDjbQ5iJRZBdpW2bAENYak08T3Y""",,unchanged,raw/hf.models.text-generation/2026/08/20260831T144730Z-7d9566304227.json,not_modified,
hf.models.text-generation,https://huggingface.co/api/models?pipeline_tag=text-generation&sort=downloads&direction=-1&limit=1000&expand[]=downloads&expand[]=downloadsAllTime&expand[]=likes&expand[]=createdAt&expand[]=lastModified,2026-08-31T15:39:13Z,200,application/json,213298,9cbbc01d809631ff7b5de0e5f17d2f677fd5a629113e3cd5eed18ed3230bbdc0,"W/""34132-EP66X4p7DQl8PAMOhqfzJmk0IUQ""",,changed,raw/hf.models.text-generation/2026/08/20260831T153913Z-9cbbc01d8096.json,,
hf.models.text-generation,https://huggingface.co/api/models?pipeline_tag=text-generation&sort=downloads&direction=-1&limit=1000&expand[]=downloads&expand[]=downloadsAllTime&expand[]=likes&expand[]=createdAt&expand[]=lastModified,2026-08-31T17:08:17Z,200,application/json,213299,1c5521d3f8c9c18dad682db9c7302b70a89e54438366e06060dc165c29fb499c,"W/""34133-w3VAKREj3l7+HUpmhAwzRvVkE6M""",,changed,raw/hf.models.text-generation/2026/08/20260831T170817Z-1c5521d3f8c9.json,,
