source_id,url,fetched_at,http_status,content_type,content_length,content_sha256,etag,last_modified,outcome,raw_ref,reason,warnings
hf.models.text-generation,https://huggingface.co/api/models?pipeline_tag=text-generation&sort=downloads&direction=-1&limit=1000&expand[]=downloads&expand[]=downloadsAllTime&expand[]=likes&expand[]=createdAt&expand[]=lastModified,2026-09-02T00:04:35Z,200,application/json,213215,29d8f14cb13b00533b14a61c21874905dd041a98df3fd262c5852597e2d5c6ab,"W/""340df-fs+/Tfvf8z+vwjK+ynYAK3kx6mc""",,changed,raw/hf.models.text-generation/2026/09/20260902T000435Z-29d8f14cb13b.json,,
hf.models.text-generation,https://huggingface.co/api/models?pipeline_tag=text-generation&sort=downloads&direction=-1&limit=1000&expand[]=downloads&expand[]=downloadsAllTime&expand[]=likes&expand[]=createdAt&expand[]=lastModified,2026-09-03T00:08:43Z,200,application/json,213269,d08a273feb42c9ee46f00c0598881d2a861a2b4ddc3830460a7a6318e386d9f8,"W/""34115-kbuHfm+49QJJiLxhQ/5Xxhpcge8""",,changed,raw/hf.models.text-generation/2026/09/20260903T000843Z-d08a273feb42.json,,
hf.models.text-generation,https://huggingface.co/api/models?pipeline_tag=text-generation&sort=downloads&direction=-1&limit=1000&expand[]=downloads&expand[]=downloadsAllTime&expand[]=likes&expand[]=createdAt&expand[]=lastModified,2026-09-04T00:00:36Z,200,application/json,213255,0dadcfbc6553cad1542cdd1d27653827e6d43a14f195ba3296a71c1ced9fc1ff,"W/""34107-+htLEPieZR53e0fMRFlu0DpPojM""",,changed,raw/hf.models.text-generation/2026/09/20260904T000036Z-0dadcfbc6553.json,,
