source_id,url,fetched_at,http_status,content_type,content_length,content_sha256,etag,last_modified,outcome,raw_ref,reason,warnings
hf.models.top-likes,https://huggingface.co/api/models?sort=likes&direction=-1&limit=1000&expand[]=downloads&expand[]=downloadsAllTime&expand[]=likes&expand[]=createdAt&expand[]=lastModified&expand[]=pipeline_tag,2026-08-31T15:39:18Z,200,application/json,237504,d29ae513e621065b902032da130cdf57b34bdfbfa73f323cc0ab68eefa6ffbce,"W/""39fc0-hQK7fVEWylVQhYh2L3iCuCi+Po4""",,first_capture,raw/hf.models.top-likes/2026/08/20260831T153918Z-d29ae513e621.json,,
hf.models.top-likes,https://huggingface.co/api/models?sort=likes&direction=-1&limit=1000&expand[]=downloads&expand[]=downloadsAllTime&expand[]=likes&expand[]=createdAt&expand[]=lastModified&expand[]=pipeline_tag,2026-08-31T17:08:08Z,200,application/json,237522,4ded41680c7e150ad052fb024f58332a22ce2fca310f13f680e9ccd5776c1233,"W/""39fd2-7kMKDE3dFHgRUKYfViR5Caxlz4E""",,changed,raw/hf.models.top-likes/2026/08/20260831T170808Z-4ded41680c7e.json,,
hf.models.top-likes,https://huggingface.co/api/models?sort=likes&direction=-1&limit=1000&expand[]=downloads&expand[]=downloadsAllTime&expand[]=likes&expand[]=createdAt&expand[]=lastModified&expand[]=pipeline_tag,2026-08-31T22:41:33Z,200,application/json,237518,6588fffa2f9abc5d8025f376d4c91410d34aaf316b05806a48fb6743a21ad65c,"W/""39fce-hkucPxfGjzHxNxJG5j3X0rOuztE""",,changed,raw/hf.models.top-likes/2026/08/20260831T224133Z-6588fffa2f9a.json,,
