source_id,url,fetched_at,http_status,content_type,content_length,content_sha256,etag,last_modified,outcome,raw_ref,reason,warnings
hf.datasets.trending,https://huggingface.co/api/datasets?sort=trendingScore&direction=-1&limit=1000&expand[]=trendingScore&expand[]=downloads&expand[]=likes&expand[]=createdAt,2026-09-02T00:04:35Z,200,application/json,155283,b4edacbfa60a79c9b603cfbdb30eaad4c0db4afbc143bbeb917dab7f118b7efd,"W/""25e93-nVP5RWUS/B38cQ3CjeTzQlr4hTs""",,changed,raw/hf.datasets.trending/2026/09/20260902T000435Z-b4edacbfa60a.json,,
hf.datasets.trending,https://huggingface.co/api/datasets?sort=trendingScore&direction=-1&limit=1000&expand[]=trendingScore&expand[]=downloads&expand[]=likes&expand[]=createdAt,2026-09-03T00:08:46Z,200,application/json,155171,fe2ee8787c8ece761318b60216289f58e60baeab77eeff1905ec3e3c5ac21110,"W/""25e23-MAg0MvfTBAb0u5ePQNMEj9+Gz/Y""",,changed,raw/hf.datasets.trending/2026/09/20260903T000846Z-fe2ee8787c8e.json,,
hf.datasets.trending,https://huggingface.co/api/datasets?sort=trendingScore&direction=-1&limit=1000&expand[]=trendingScore&expand[]=downloads&expand[]=likes&expand[]=createdAt,2026-09-04T00:00:37Z,200,application/json,154662,96f5c749ae87061a97cc4c11f2212c9e123b9cb5f8f1052beca51492ebfcf1de,"W/""25c26-DP7iK2MWmdX8KggbVEUuXy4dFWw""",,changed,raw/hf.datasets.trending/2026/09/20260904T000037Z-96f5c749ae87.json,,
