source_id,url,fetched_at,http_status,content_type,content_length,content_sha256,etag,last_modified,outcome,raw_ref,reason,warnings
hf.datasets.newest,https://huggingface.co/api/datasets?sort=createdAt&direction=-1&limit=1000&expand[]=downloads&expand[]=likes&expand[]=createdAt,2026-08-31T15:37:41Z,200,application/json,144805,625ef278af7c5ef11e695ee5b5bd19389d8df6c39b9b0b89a17c04e8fe3cccfd,"W/""235a5-Mk05Fd6VvzhW7R2+AeE1KsCa6Dc""",,first_capture,raw/hf.datasets.newest/2026/08/20260831T153741Z-625ef278af7c.json,,
hf.datasets.newest,https://huggingface.co/api/datasets?sort=createdAt&direction=-1&limit=1000&expand[]=downloads&expand[]=likes&expand[]=createdAt,2026-08-31T17:08:06Z,200,application/json,145311,ee0ef18632001be06ad5cb3fc8c4f57521b27b632674f5357ee15e5bab07da81,"W/""2379f-xMWxiauxvP1dgkzYCigfqtTISfQ""",,changed,raw/hf.datasets.newest/2026/08/20260831T170806Z-ee0ef1863200.json,,
hf.datasets.newest,https://huggingface.co/api/datasets?sort=createdAt&direction=-1&limit=1000&expand[]=downloads&expand[]=likes&expand[]=createdAt,2026-08-31T22:41:33Z,200,application/json,145407,0f9f3ef69aa965dc47c36eccd93f20db674b36f9aed035ed281e65f727fdf377,"W/""237ff-e3TQKZndTaYKqz8jGpN5Bae2G+Y""",,changed,raw/hf.datasets.newest/2026/08/20260831T224133Z-0f9f3ef69aa9.json,,
