source_id,url,fetched_at,http_status,content_type,content_length,content_sha256,etag,last_modified,outcome,raw_ref,reason,warnings
hf.models.top-downloads,https://huggingface.co/api/models?sort=downloads&direction=-1&limit=1000&expand[]=downloads&expand[]=downloadsAllTime&expand[]=likes&expand[]=createdAt&expand[]=lastModified&expand[]=pipeline_tag&expand[]=library_name&expand[]=tags,2026-09-02T00:04:41Z,200,application/json,549063,637329b30abaaf9714f95e60ac9252ed317f066c9439310961711abc67bb8141,"W/""860c7-fpQKoFx4Ls9XCYZbCYKH+Sl22J8""",,changed,raw/hf.models.top-downloads/2026/09/20260902T000441Z-637329b30aba.json,,
hf.models.top-downloads,https://huggingface.co/api/models?sort=downloads&direction=-1&limit=1000&expand[]=downloads&expand[]=downloadsAllTime&expand[]=likes&expand[]=createdAt&expand[]=lastModified&expand[]=pipeline_tag&expand[]=library_name&expand[]=tags,2026-09-03T00:08:46Z,200,application/json,550935,78bfdf3a3e8bd954ba460b08e85f41f4ddbe254dcbd276875267449abf7be73e,"W/""86817-8QvKe+yt/PBN5WSwdiHRt99sjgU""",,changed,raw/hf.models.top-downloads/2026/09/20260903T000846Z-78bfdf3a3e8b.json,,
hf.models.top-downloads,https://huggingface.co/api/models?sort=downloads&direction=-1&limit=1000&expand[]=downloads&expand[]=downloadsAllTime&expand[]=likes&expand[]=createdAt&expand[]=lastModified&expand[]=pipeline_tag&expand[]=library_name&expand[]=tags,2026-09-04T00:00:40Z,200,application/json,551862,a1d03516f2039e809dcc405067abec7839286cee14ea02f2356c20598465fbbf,"W/""86bb6-Be+33GmtXQoAok5dssea3D8ax5c""",,changed,raw/hf.models.top-downloads/2026/09/20260904T000040Z-a1d03516f203.json,,
