source_id,url,fetched_at,http_status,content_type,content_length,content_sha256,etag,last_modified,outcome,raw_ref,reason,warnings
hf.models.top-downloads,https://huggingface.co/api/models?sort=downloads&direction=-1&limit=1000&expand[]=downloads&expand[]=downloadsAllTime&expand[]=likes&expand[]=createdAt&expand[]=lastModified&expand[]=pipeline_tag&expand[]=library_name&expand[]=tags,2026-08-31T15:39:16Z,200,application/json,549027,ab6a72917854450271daeb5e7657f78efa051536b76aa525da2c862061863402,"W/""860a3-HQTJmVtS1asgtw0VV6QQLsijC6Q""",,first_capture,raw/hf.models.top-downloads/2026/08/20260831T153916Z-ab6a72917854.json,,
hf.models.top-downloads,https://huggingface.co/api/models?sort=downloads&direction=-1&limit=1000&expand[]=downloads&expand[]=downloadsAllTime&expand[]=likes&expand[]=createdAt&expand[]=lastModified&expand[]=pipeline_tag&expand[]=library_name&expand[]=tags,2026-08-31T17:08:15Z,200,application/json,549051,443ff4d98af4e03be180bd9c0c0f0da420b2d01c0b3a9076ed681f78916e9b44,"W/""860bb-jBI8/wwrf8diPzqrZ9q7DcjLC80""",,changed,raw/hf.models.top-downloads/2026/08/20260831T170815Z-443ff4d98af4.json,,
hf.models.top-downloads,https://huggingface.co/api/models?sort=downloads&direction=-1&limit=1000&expand[]=downloads&expand[]=downloadsAllTime&expand[]=likes&expand[]=createdAt&expand[]=lastModified&expand[]=pipeline_tag&expand[]=library_name&expand[]=tags,2026-08-31T22:41:38Z,200,application/json,549051,9a788c9ff5e05a9d181f23a676e2c6bd1028f75a5ebbf17217f9b8656522075c,"W/""860bb-1W1hEZBmYfcHuY9YIUoeDQMrP0E""",,changed,raw/hf.models.top-downloads/2026/08/20260831T224138Z-9a788c9ff5e0.json,,
